frame_number,received_time,sent_time,delay_seconds,number_markers
3,1581016525114545106,1581016524937992198,0.176552908,2
4,1581016525212764024,1581016524972621356,0.240142668,2
5,1581016525234591007,1581016525006511639,0.228079368,2
6,1581016525332385063,1581016525040902746,0.291482317,2
7,1581016525348613023,1581016525075197781,0.273415242,2
8,1581016525449692964,1581016525109053861,0.340639103,2
9,1581016525462775945,1581016525142946663,0.319829282,2
10,1581016525562666893,1581016525177346548,0.385320345,2
11,1581016525576036930,1581016525211599546,0.364437384,2
12,1581016525674283981,1581016525245519088,0.428764893,2
13,1581016525689990997,1581016525279422520,0.410568477,2
14,1581016525785501003,1581016525347507877,0.437993126,2
15,1581016525802843093,1581016525381382569,0.421460524,2
16,1581016525897140979,1581016525450658401,0.446482578,2
17,1581016525915309906,1581016525484949510,0.430360396,2
18,1581016526008358955,1581016525587189942,0.421169013,2
19,1581016526027410984,1581016525621108855,0.406302129,2
20,1581016526120301961,1581016525689250896,0.431051065,2
21,1581016526141500949,1581016525723216141,0.418284808,2
22,1581016526231353998,1581016525791326720,0.440027278,2
23,1581016526254471063,1581016525825196226,0.429274837,2
24,1581016526342809915,1581016525892876185,0.44993373,2
25,1581016526367204904,1581016525926841152,0.440363752,2
26,1581016526454225063,1581016526028609260,0.425615803,2
27,1581016526480345010,1581016526062849944,0.417495066,2
28,1581016526566095113,1581016526130606864,0.435488249,2
29,1581016526593818902,1581016526164528721,0.429290181,2
30,1581016526677421092,1581016526232340213,0.445080879,2
31,1581016526708488941,1581016526266274996,0.442213945,2
32,1581016526788183927,1581016526368350876,0.419833051,2
33,1581016526821585893,1581016526402345416,0.419240477,2
34,1581016526900073051,1581016526470217889,0.429855162,2
35,1581016526935170888,1581016526504150191,0.431020697,2
36,1581016527010831117,1581016526572474913,0.438356204,2
37,1581016527048089027,1581016526606420140,0.441668887,2
38,1581016527122354030,1581016526674236503,0.448117527,2
39,1581016527163139104,1581016526742012163,0.421126941,2
40,1581016527233886003,1581016526809722510,0.424163493,2
41,1581016527280303955,1581016526843610238,0.436693717,2
42,1581016527346373081,1581016526911326621,0.43504646,2
43,1581016527395092964,1581016526945248756,0.449844208,2
44,1581016527458697080,1581016527013072119,0.445624961,2
45,1581016527508100986,1581016527080780003,0.427320983,2
46,1581016527571310997,1581016527148547940,0.422763057,2
47,1581016527622272014,1581016527182619998,0.439652016,2
48,1581016527684250116,1581016527250449731,0.433800385,2
49,1581016527736351966,1581016527284311904,0.452040062,2
50,1581016527797288894,1581016527352252413,0.445036481,2
51,1581016527850445985,1581016527420073590,0.430372395,2
52,1581016527909831047,1581016527487851306,0.421979741,2
53,1581016527964205026,1581016527521827347,0.442377679,2
54,1581016528023308992,1581016527589738208,0.433570784,2
55,1581016528077538013,1581016527657684438,0.419853575,2
56,1581016528136260032,1581016527691647776,0.444612256,2
57,1581016528192873001,1581016527759569026,0.433303975,2
58,1581016528248466014,1581016527827511942,0.420954072,2
59,1581016528307436943,1581016527861492334,0.445944609,2
60,1581016528360481977,1581016527929397992,0.431083985,2
61,1581016528421814918,1581016527997126190,0.424688728,2
62,1581016528471865892,1581016528031071195,0.440794697,2
63,1581016528535501003,1581016528098890039,0.436610964,2
64,1581016528584244012,1581016528132802933,0.451441079,2
65,1581016528650393009,1581016528200625463,0.449767546,2
66,1581016528695247888,1581016528268471603,0.426776285,2
67,1581016528764369964,1581016528336201930,0.428168034,2
68,1581016528806142091,1581016528370306191,0.4358359,2
69,1581016528876957893,1581016528438153572,0.438804321,2
70,1581016528917687892,1581016528472590381,0.445097511,2
71,1581016528989862918,1581016528540729941,0.449132977,2
72,1581016529028832912,1581016528608524360,0.420308552,2
73,1581016529102826118,1581016528676313946,0.426512172,2
74,1581016529140355110,1581016528710225340,0.43012977,2
75,1581016529216270923,1581016528778336660,0.437934263,2
76,1581016529251364946,1581016528812277016,0.43908793,2
77,1581016529328830957,1581016528880314152,0.448516805,2
78,1581016529362416982,1581016528914151937,0.448265045,2
79,1581016529441355943,1581016529015954767,0.425401176,2
80,1581016529473860025,1581016529049867550,0.423992475,2
81,1581016529554255962,1581016529117659321,0.436596641,2
82,1581016529585558891,1581016529151557827,0.434001064,2
83,1581016529668054103,1581016529219668683,0.44838542,2
84,1581016529697572946,1581016529253652428,0.443920518,2
85,1581016529781400918,1581016529355349334,0.426051584,2
86,1581016529809000968,1581016529389466409,0.419534559,2
87,1581016529894289016,1581016529457464343,0.436824673,2
88,1581016529920865058,1581016529491352589,0.429512469,2
89,1581016530007184028,1581016529559568629,0.447615399,2
90,1581016530032150030,1581016529593437302,0.438712728,2
91,1581016530120502948,1581016529695155837,0.425347111,2
92,1581016530143198966,1581016529729093620,0.414105346,2
93,1581016530233575105,1581016529796951815,0.43662329,2
94,1581016530253804922,1581016529830873135,0.422931787,2
95,1581016530346092939,1581016529898713257,0.447379682,2
96,1581016530364662885,1581016529932627003,0.432035882,2
97,1581016530459120035,1581016530034274429,0.424845606,2
98,1581016530475187063,1581016530068263562,0.406923501,2
99,1581016530571926116,1581016530136175719,0.435750397,2
100,1581016530586280107,1581016530170179241,0.416100866,2
101,1581016530684990882,1581016530238296987,0.446693895,2
102,1581016530697827100,1581016530272193456,0.425633644,2
103,1581016530797646045,1581016530374153949,0.423492096,2
104,1581016530809210062,1581016530408291042,0.40091902,2
105,1581016530910523891,1581016530476498286,0.434025605,2
106,1581016530920633077,1581016530510504012,0.410129065,2
107,1581016531023248910,1581016530578466297,0.444782613,2
108,1581016531032426118,1581016530612374081,0.420052037,2
109,1581016531136604070,1581016530714667752,0.421936318,2
110,1581016531144762992,1581016530748592646,0.396170346,2
111,1581016531249557971,1581016530816839926,0.432718045,2
112,1581016531263998031,1581016530850750283,0.413247748,2
113,1581016531362221002,1581016530918542295,0.443678707,2
114,1581016531377408981,1581016530952429227,0.424979754,2
115,1581016531478956937,1581016531054363646,0.424593291,2
116,1581016531488863945,1581016531088269948,0.400593997,2
117,1581016531596982002,1581016531156092422,0.44088958,2
118,1581016531600194931,1581016531189960614,0.410234317,2
119,1581016531711250066,1581016531291751703,0.419498363,2
120,1581016531712537050,1581016531325749484,0.386787566,2
121,1581016531824876070,1581016531393586958,0.431289112,2
122,1581016531825342893,1581016531427558666,0.397784227,2
123,1581016531936918020,1581016531495486026,0.441431994,2
124,1581016531945837974,1581016531529387273,0.416450701,2
125,1581016532048051118,1581016531631600150,0.416450968,2
