frame_number,received_time,sent_time,delay_seconds,number_markers
2,1581016444297276020,1581016444103910063,0.193365957,2
3,1581016444312252998,1581016444138222635,0.174030363,2
4,1581016444417742013,1581016444172694054,0.245047959,2
5,1581016444427068948,1581016444206656337,0.220412611,2
6,1581016444533766984,1581016444241262457,0.292504527,2
7,1581016444543270111,1581016444275635416,0.267634695,2
8,1581016444648720979,1581016444309580032,0.339140947,2
9,1581016444655173063,1581016444343568758,0.311604305,2
10,1581016444765019893,1581016444412473691,0.352546202,2
11,1581016444767644882,1581016444377907403,0.389737479,2
12,1581016444874439954,1581016444446467936,0.427972018,2
13,1581016444881429910,1581016444480490643,0.400939267,2
14,1581016444984045982,1581016444548664628,0.435381354,2
15,1581016444994856119,1581016444582576541,0.412279578,2
16,1581016445092689037,1581016444651027372,0.441661665,2
17,1581016445109510898,1581016444684436277,0.425074621,2
18,1581016445201090097,1581016444786233736,0.414856361,2
19,1581016445223021030,1581016444820117964,0.402903066,2
20,1581016445310158014,1581016444888190692,0.421967322,2
21,1581016445337449073,1581016444922081105,0.415367968,2
22,1581016445419349908,1581016444989820785,0.429529123,2
23,1581016445451908111,1581016445023767252,0.428140859,2
24,1581016445528259992,1581016445091521561,0.436738431,2
25,1581016445565884113,1581016445125410622,0.440473491,2
26,1581016445637178897,1581016445193131191,0.444047706,2
27,1581016445678736925,1581016445227131769,0.451605156,2
28,1581016445745857954,1581016445328851082,0.417006872,2
29,1581016445794864892,1581016445362794309,0.432070583,2
30,1581016445855931043,1581016445430747854,0.425183189,2
31,1581016445910115003,1581016445464660970,0.445454033,2
32,1581016445970295906,1581016445532515073,0.437780833,2
33,1581016446021019935,1581016445600460304,0.420559631,2
34,1581016446085592031,1581016445634350550,0.451241481,2
35,1581016446129618883,1581016445702039897,0.427578986,2
36,1581016446198920011,1581016445770007035,0.428912976,2
37,1581016446238544940,1581016445804003668,0.434541272,2
38,1581016446313602924,1581016445871867012,0.441735912,2
