frame_number,received_time,sent_time,delay_seconds,number_markers
4,1581016220126526117,1581016219930200926,0.196325191,0
5,1581016220148632049,1581016219964149450,0.184482599,0
6,1581016220232954978,1581016219998518983,0.234435995,0
7,1581016220246249914,1581016220032452099,0.213797815,0
8,1581016220333529949,1581016220066399548,0.267130401,0
9,1581016220345866918,1581016220102354456,0.243512462,0
10,1581016220434557914,1581016220136843412,0.297714502,0
11,1581016220444005012,1581016220170738011,0.273267001,0
12,1581016220535341978,1581016220205114136,0.330227842,0
13,1581016220543575048,1581016220239302228,0.30427282,0
14,1581016220636445045,1581016220273220363,0.363224682,0
15,1581016220641360044,1581016220307609822,0.333750222,0
16,1581016220737982988,1581016220341463051,0.396519937,0
17,1581016220742650985,1581016220375340131,0.367310854,0
18,1581016220840630054,1581016220409728923,0.430901131,0
19,1581016220841042995,1581016220443665150,0.397377845,0
20,1581016220942938089,1581016220546023690,0.396914399,0
21,1581016220943341016,1581016220512052057,0.431288959,0
22,1581016221040961027,1581016220614508688,0.426452339,0
23,1581016221044898033,1581016220648443637,0.396454396,0
24,1581016221141628026,1581016220717102149,0.424525877,0
25,1581016221146008014,1581016220751013229,0.394994785,0
26,1581016221239325046,1581016220819838960,0.419486086,0
27,1581016221246953010,1581016220853784816,0.393168194,0
28,1581016221339586019,1581016220922359756,0.417226263,0
29,1581016221348036050,1581016220956319723,0.391716327,0
30,1581016221437721014,1581016221024236418,0.413484596,0
31,1581016221448151111,1581016221058732115,0.389418996,0
32,1581016221535027980,1581016221126618532,0.408409448,0
33,1581016221548161029,1581016221160584814,0.387576215,0
34,1581016221631963014,1581016221228426083,0.403536931,0
35,1581016221647988080,1581016221262765247,0.385222833,0
36,1581016221729326009,1581016221296947487,0.432378522,0
37,1581016221748464107,1581016221330793605,0.417670502,0
38,1581016221826864004,1581016221398660634,0.42820337,0
39,1581016221848965883,1581016221432500992,0.416464891,0
40,1581016221924391984,1581016221500576739,0.423815245,0
41,1581016221949619054,1581016221534405172,0.415213882,0
42,1581016222021375894,1581016221602122240,0.419253654,0
43,1581016222049556970,1581016221636169928,0.413387042,0
44,1581016222118360996,1581016221704380302,0.413980694,0
45,1581016222150141000,1581016221738495099,0.411645901,0
46,1581016222215276956,1581016221806620530,0.408656426,0
47,1581016222250070095,1581016221840767104,0.409302991,0
48,1581016222313106060,1581016221908653781,0.404452279,0
49,1581016222350480079,1581016221942499139,0.40798094,0
50,1581016222410514116,1581016221976510254,0.434003862,0
51,1581016222450586080,1581016222044316969,0.406269111,0
52,1581016222508378028,1581016222078293750,0.430084278,0
53,1581016222550875902,1581016222112188423,0.438687479,0
54,1581016222606789112,1581016222179995490,0.426793622,0
55,1581016222651499986,1581016222213862755,0.437637231,0
56,1581016222705370903,1581016222281682248,0.423688655,0
57,1581016222752506971,1581016222315778083,0.436728888,0
58,1581016222803848028,1581016222383520410,0.420327618,0
59,1581016222854172945,1581016222417689095,0.43648385,0
60,1581016222901632070,1581016222485796896,0.415835174,0
61,1581016222955841064,1581016222519778752,0.436062312,0
62,1581016222998528957,1581016222587654040,0.410874917,0
63,1581016223056447982,1581016222621669747,0.434778235,0
64,1581016223095309019,1581016222689653736,0.405655283,0
65,1581016223156282901,1581016222723589778,0.432693123,0
66,1581016223192351102,1581016222757494376,0.434856726,0
67,1581016223256520032,1581016222825327164,0.431192868,0
68,1581016223290038108,1581016222859445666,0.430592442,0
69,1581016223357551097,1581016222927448599,0.430102498,0
70,1581016223387664079,1581016222961763059,0.42590102,0
71,1581016223458009958,1581016223029509497,0.428500461,0
72,1581016223485268115,1581016223063999824,0.421268291,0
73,1581016223558383941,1581016223132026794,0.426357147,0
74,1581016223582084894,1581016223165938225,0.416146669,0
75,1581016223658659934,1581016223234563238,0.424096696,0
76,1581016223679503917,1581016223268807847,0.41069607,0
77,1581016223759284019,1581016223336756930,0.422527089,0
78,1581016223776449918,1581016223370595715,0.405854203,0
79,1581016223860357999,1581016223438412244,0.421945755,0
80,1581016223873085975,1581016223472308898,0.400777077,0
81,1581016223960894107,1581016223540586751,0.420307356,0
82,1581016223970110893,1581016223574492812,0.395618081,0
83,1581016224061729907,1581016223642248769,0.419481138,0
84,1581016224068025112,1581016223676137293,0.391887819,0
85,1581016224162457942,1581016223743918120,0.418539822,0
86,1581016224166230916,1581016223778232210,0.387998706,0
87,1581016224264446973,1581016223846012092,0.418434881,0
88,1581016224264842987,1581016223879982485,0.384860502,0
89,1581016224362109899,1581016223947849550,0.414260349,0
90,1581016224365825891,1581016223981784167,0.384041724,0
91,1581016224459609031,1581016224049679194,0.409929837,0
92,1581016224466852903,1581016224083682087,0.383170816,0
93,1581016224556704044,1581016224151617595,0.405086449,0
94,1581016224567096948,1581016224185562637,0.381534311,0
95,1581016224654057979,1581016224219596492,0.434461487,0
96,1581016224667314052,1581016224253507516,0.413806536,0
97,1581016224751302003,1581016224321394988,0.429907015,0
98,1581016224767151117,1581016224355271050,0.411880067,0
99,1581016224848948001,1581016224423196874,0.425751127,0
100,1581016224867643117,1581016224457048065,0.410595052,0
101,1581016224946392059,1581016224525021388,0.421370671,0
102,1581016224968054056,1581016224559164963,0.408889093,0
103,1581016225043657064,1581016224627224191,0.416432873,0
104,1581016225068525075,1581016224661122382,0.407402693,0
105,1581016225140880107,1581016224728999114,0.411880993,0
106,1581016225168426990,1581016224762879435,0.405547555,0
107,1581016225238214015,1581016224830681205,0.40753281,0
108,1581016225268788099,1581016224864531601,0.404256498,0
109,1581016225335194110,1581016224898409274,0.436784836,0
110,1581016225369313955,1581016224932282909,0.437031046,0
111,1581016225432363986,1581016225000346378,0.432017608,0
112,1581016225469130039,1581016225034259143,0.434870896,0
113,1581016225529855012,1581016225102941470,0.426913542,0
114,1581016225568907022,1581016225136907511,0.431999511,0
115,1581016225627583980,1581016225204731022,0.422852958,0
116,1581016225668838024,1581016225239050797,0.429787227,0
117,1581016225725989103,1581016225307164172,0.418824931,0
118,1581016225769998073,1581016225341060492,0.428937581,0
119,1581016225823932886,1581016225408855596,0.41507729,0
120,1581016225867105007,1581016225442767102,0.424337905,0
121,1581016225922178983,1581016225510602742,0.411576241,0
122,1581016225967782020,1581016225544564006,0.423218014,0
123,1581016226020016908,1581016225612960801,0.407056107,0
124,1581016226064564943,1581016225646918546,0.417646397,0
125,1581016226118238925,1581016225680792386,0.437446539,0
126,1581016226165267944,1581016225748768616,0.416499328,0
127,1581016226216135978,1581016225782751083,0.433384895,0
128,1581016226261557102,1581016225850421597,0.411135505,0
129,1581016226314313888,1581016225884714168,0.42959972,0
130,1581016226362466096,1581016225952403886,0.41006221,0
131,1581016226412255048,1581016225986360816,0.425894232,0
132,1581016226459038019,1581016226055282878,0.403755141,0
133,1581016226510329961,1581016226089226272,0.421103689,0
134,1581016226560278892,1581016226124039092,0.4362398,0
135,1581016226607985019,1581016226191828215,0.416156804,0
136,1581016226657082080,1581016226225757127,0.431324953,0
137,1581016226706168889,1581016226293786412,0.412382477,0
138,1581016226758196115,1581016226327791397,0.430404718,0
139,1581016226803540945,1581016226395556168,0.407984777,0
140,1581016226854907989,1581016226429526043,0.425381946,0
141,1581016226900661945,1581016226497308258,0.403353687,0
142,1581016226955660104,1581016226531245207,0.424414897,0
143,1581016226997246980,1581016226565169101,0.432077879,0
144,1581016227053409099,1581016226632956780,0.420452319,0
145,1581016227094223976,1581016226667028411,0.427195565,0
146,1581016227150945901,1581016226734769091,0.41617681,0
147,1581016227191246032,1581016226768731039,0.422514993,0
148,1581016227248234987,1581016226836493292,0.411741695,0
149,1581016227288253068,1581016226870493518,0.41775955,0
150,1581016227345534086,1581016226938472729,0.407061357,0
151,1581016227384902954,1581016226972420642,0.412482312,0
152,1581016227442579984,1581016227006312981,0.436267003,0
153,1581016227481436014,1581016227074502928,0.406933086,0
154,1581016227539885997,1581016227108503321,0.431382676,0
155,1581016227578471899,1581016227142516046,0.435955853,0
156,1581016227637140035,1581016227210298632,0.426841403,0
157,1581016227675292968,1581016227244385356,0.430907612,0
158,1581016227734560012,1581016227312232274,0.422327738,0
159,1581016227772752046,1581016227346766452,0.425985594,0
160,1581016227830605030,1581016227414415651,0.416189379,0
161,1581016227869843006,1581016227448289824,0.421553182,0
162,1581016227930655002,1581016227516893134,0.413761868,0
163,1581016227967120885,1581016227550833991,0.416286894,0
164,1581016228026475906,1581016227618695575,0.407780331,0
165,1581016228063811063,1581016227652598136,0.411212927,0
166,1581016228126655101,1581016227720386388,0.406268713,0
167,1581016228161259889,1581016227754292283,0.406967606,0
168,1581016228223625898,1581016227788185844,0.435440054,0
169,1581016228258359909,1581016227822102497,0.436257412,0
170,1581016228320574045,1581016227890029340,0.430544705,0
171,1581016228355514049,1581016227924186062,0.431327987,0
172,1581016228416632890,1581016227992096330,0.42453656,0
173,1581016228452717065,1581016228025959633,0.426757432,0
174,1581016228516858100,1581016228093836865,0.423021235,0
175,1581016228550004959,1581016228128288156,0.421716803,0
176,1581016228612993955,1581016228196985797,0.416008158,0
177,1581016228647669076,1581016228230884117,0.416784959,0
178,1581016228713499069,1581016228298742276,0.414756793,0
179,1581016228745538949,1581016228332642540,0.412896409,0
180,1581016228809272050,1581016228400463162,0.408808888,0
181,1581016228842832088,1581016228434390908,0.40844118,0
182,1581016228908890962,1581016228502166642,0.40672432,0
183,1581016228940382003,1581016228536058389,0.404323614,0
184,1581016229004769086,1581016228570033412,0.434735674,0
185,1581016229037527084,1581016228604122858,0.433404226,0
186,1581016229105051994,1581016228672142365,0.432909629,0
187,1581016229135150909,1581016228706085369,0.42906554,0
188,1581016229201138973,1581016228774190708,0.426948265,0
189,1581016229232642889,1581016228808123639,0.42451925,0
190,1581016229301127910,1581016228875929039,0.425198871,0
191,1581016229330123901,1581016228910936873,0.419187028,0
192,1581016229396883964,1581016228978727311,0.418156653,0
193,1581016229427422046,1581016229012669668,0.414752378,0
194,1581016229496593952,1581016229080475012,0.41611894,0
195,1581016229524780035,1581016229114595106,0.410184929,0
196,1581016229592571020,1581016229182457542,0.410113478,0
197,1581016229622283935,1581016229216303715,0.40598022,0
198,1581016229692692041,1581016229284088819,0.408603222,0
199,1581016229719851016,1581016229318040528,0.401810488,0
200,1581016229788572072,1581016229385966018,0.402606054,0
201,1581016229817080974,1581016229419922337,0.397158637,0
202,1581016229888441085,1581016229453920600,0.434520485,0
203,1581016229914459943,1581016229487886549,0.426573394,0
204,1581016229984664916,1581016229555591192,0.429073724,0
205,1581016230011920928,1581016229589441680,0.422479248,0
206,1581016230084937095,1581016229657869864,0.427067231,0
207,1581016230108717918,1581016229691776647,0.416941271,0
208,1581016230180876970,1581016229759538566,0.421338404,0
209,1581016230205794095,1581016229793564514,0.412229581,0
210,1581016230280906915,1581016229861426709,0.419480206,0
211,1581016230302629947,1581016229895353159,0.407276788,0
212,1581016230376395940,1581016229963471127,0.412924813,0
213,1581016230399538040,1581016229997349299,0.402188741,0
214,1581016230476551055,1581016230065347899,0.411203156,0
215,1581016230496720075,1581016230099265886,0.397454189,0
216,1581016230572463989,1581016230167060360,0.405403629,0
217,1581016230594398975,1581016230201023143,0.393375832,0
218,1581016230672400951,1581016230234917426,0.437483525,0
219,1581016230692183017,1581016230268772822,0.423410195,0
220,1581016230768146991,1581016230337222375,0.430924616,0
221,1581016230789767980,1581016230371104214,0.418663766,0
222,1581016230868558883,1581016230440494656,0.428064227,0
223,1581016230886718034,1581016230474469586,0.412248448,0
224,1581016230964581012,1581016230542403113,0.422177899,0
225,1581016230983830928,1581016230576747702,0.407083226,0
226,1581016231064975976,1581016230644481826,0.42049415,0
227,1581016231080297946,1581016230678332944,0.401965002,0
228,1581016231162018060,1581016230746262304,0.415755756,0
229,1581016231176997900,1581016230780115515,0.396882385,0
230,1581016231259038925,1581016230848183520,0.410855405,0
231,1581016231273682117,1581016230882384520,0.391297597,0
232,1581016231354871988,1581016230950237456,0.404634532,0
233,1581016231370362043,1581016230984812411,0.385549632,0
234,1581016231454931020,1581016231018922060,0.43600896,0
235,1581016231467531919,1581016231052781585,0.414750334,0
236,1581016231550790071,1581016231121361784,0.429428287,0
237,1581016231564413070,1581016231155307271,0.409105799,0
238,1581016231651494026,1581016231223149337,0.428344689,0
239,1581016231661360025,1581016231257004343,0.404355682,0
240,1581016231748979091,1581016231325436804,0.423542287,0
241,1581016231758646011,1581016231359361087,0.399284924,0
242,1581016231844769001,1581016231427200153,0.417568848,0
243,1581016231855915069,1581016231461050123,0.394864946,0
244,1581016231944806098,1581016231528893911,0.415912187,0
245,1581016231953414916,1581016231562838842,0.390576074,0
246,1581016232040498018,1581016231630867275,0.409630743,0
247,1581016232050405025,1581016231664984535,0.38542049,0
248,1581016232140760898,1581016231732796102,0.407964796,0
249,1581016232148164987,1581016231766696385,0.381468602,0
250,1581016232237198114,1581016231800655649,0.436542465,0
251,1581016232245275020,1581016231834733743,0.410541277,0
252,1581016232337971925,1581016231903550419,0.434421506,0
253,1581016232343275070,1581016231937416759,0.405858311,0
254,1581016232434561967,1581016232005289546,0.429272421,0
255,1581016232440630912,1581016232039098535,0.401532377,0
256,1581016232535940885,1581016232106978563,0.428962322,0
257,1581016232538964986,1581016232141577481,0.397387505,0
258,1581016232632582902,1581016232209386992,0.42319591,0
259,1581016232637146949,1581016232243623453,0.393523496,0
260,1581016232734255075,1581016232311774495,0.42248058,0
261,1581016232736040115,1581016232345907218,0.390132897,0
262,1581016232831567049,1581016232414051852,0.417515197,0
263,1581016232834089040,1581016232448088003,0.386001037,0
264,1581016232933211088,1581016232550083514,0.383127574,0
265,1581016232934196949,1581016232516110565,0.418086384,0
266,1581016233030688047,1581016232652045766,0.378642281,0
267,1581016233031675100,1581016232618050484,0.413624616,0
268,1581016233129313945,1581016232753962871,0.375351074,0
269,1581016233132337093,1581016232720010903,0.41232619,0
270,1581016233227565050,1581016232821839566,0.405725484,0
271,1581016233228699922,1581016232855933605,0.372766317,0
272,1581016233325228929,1581016232890125789,0.43510314,0
273,1581016233329606056,1581016232923971833,0.405634223,0
274,1581016233423198938,1581016232991817640,0.431381298,0
275,1581016233426388025,1581016233025609555,0.40077847,0
276,1581016233521059036,1581016233093469917,0.427589119,0
277,1581016233527108907,1581016233127281110,0.399827797,0
278,1581016233618868112,1581016233195099510,0.423768602,0
279,1581016233623972892,1581016233230154288,0.393818604,0
280,1581016233716214895,1581016233298056112,0.418158783,0
281,1581016233724482059,1581016233332078208,0.392403851,0
282,1581016233813652992,1581016233399949495,0.413703497,0
283,1581016233820811986,1581016233433990313,0.386821673,0
284,1581016233910695075,1581016233501920896,0.408774179,0
285,1581016233920567989,1581016233535897140,0.384670849,0
286,1581016234007798910,1581016233603913147,0.403885763,0
287,1581016234016799926,1581016233637924151,0.378875775,0
288,1581016234104754924,1581016233671992023,0.432762901,0
289,1581016234116899967,1581016233705948009,0.410951958,0
290,1581016234202155113,1581016233774321398,0.427833715,0
291,1581016234212889909,1581016233808223514,0.404666395,0
292,1581016234299515962,1581016233876077321,0.423438641,0
293,1581016234312227010,1581016233909953160,0.40227385,0
294,1581016234396802902,1581016233977895706,0.418907196,0
295,1581016234408082008,1581016234011802748,0.39627926,0
296,1581016234493943929,1581016234079688758,0.414255171,0
297,1581016234507989883,1581016234113590227,0.394399656,0
298,1581016234591155052,1581016234181607363,0.409547689,0
299,1581016234603769063,1581016234215614052,0.388155011,0
300,1581016234688214063,1581016234249529464,0.438684599,0
301,1581016234703807115,1581016234283371564,0.420435551,0
302,1581016234785304069,1581016234353185126,0.432118943,0
303,1581016234799216985,1581016234387297443,0.411919542,0
304,1581016234882704973,1581016234455292265,0.427412708,0
305,1581016234898595094,1581016234489174326,0.409420768,0
306,1581016234979940891,1581016234557010911,0.42292998,0
307,1581016234993778944,1581016234590868843,0.402910101,0
308,1581016235077003002,1581016234659898311,0.417104691,0
309,1581016235093318939,1581016234693759317,0.399559622,0
310,1581016235174139976,1581016234761714307,0.412425669,0
311,1581016235188913106,1581016234795587684,0.393325422,0
312,1581016235271131992,1581016234863462953,0.407669039,0
313,1581016235289015054,1581016234898011723,0.391003331,0
314,1581016235368196964,1581016234931986190,0.436210774,0
315,1581016235384218931,1581016234965872048,0.418346883,0
316,1581016235465044021,1581016235035130733,0.429913288,0
317,1581016235484091043,1581016235069010646,0.415080397,0
318,1581016235562504053,1581016235136760084,0.425743969,0
319,1581016235579688072,1581016235170612998,0.409075074,0
320,1581016235659904956,1581016235238391492,0.421513464,0
321,1581016235679296970,1581016235272275275,0.407021695,0
322,1581016235756942033,1581016235340450353,0.41649168,0
323,1581016235774880886,1581016235374323859,0.400557027,0
324,1581016235854049921,1581016235442230905,0.411819016,0
325,1581016235874792098,1581016235476139855,0.398652243,0
326,1581016235950875043,1581016235543983384,0.406891659,0
