frame_number,received_time,sent_time,delay_seconds,number_markers
4,1581016325479199886,1581016325204240779,0.274959107,2
5,1581016325481487035,1581016325238174561,0.243312474,2
6,1581016325599284887,1581016325306875776,0.292409111,2
7,1581016325600744962,1581016325272536946,0.328208016,2
8,1581016325716476917,1581016325341155589,0.375321328,2
9,1581016325720489025,1581016325375288016,0.345201009,2
10,1581016325832401037,1581016325409437331,0.422963706,2
11,1581016325840099096,1581016325444010860,0.396088236,2
12,1581016325949242115,1581016325512174031,0.437068084,2
13,1581016325960753917,1581016325546130665,0.414623252,2
14,1581016326069571971,1581016325614358093,0.455213878,2
15,1581016326079549074,1581016325648264877,0.431284197,2
16,1581016326189279079,1581016325751777764,0.437501315,2
17,1581016326198935985,1581016325786129038,0.412806947,2
18,1581016326308815002,1581016325854377836,0.454437166,2
19,1581016326316354036,1581016325888526540,0.427827496,2
20,1581016326428312063,1581016325990192984,0.438119079,2
21,1581016326437216043,1581016326024156229,0.413059814,2
22,1581016326547286033,1581016326091937333,0.4553487,2
23,1581016326554585933,1581016326125804321,0.428781612,2
24,1581016326665705919,1581016326227527116,0.438178803,2
25,1581016326673336029,1581016326261427195,0.411908834,2
26,1581016326782712936,1581016326329128005,0.453584931,2
27,1581016326790417909,1581016326363006604,0.427411305,2
28,1581016326898509025,1581016326465143519,0.433365506,2
29,1581016326906405925,1581016326499080580,0.407325345,2
30,1581016327014878988,1581016326566823907,0.448055081,2
31,1581016327023367881,1581016326600749319,0.422618562,2
32,1581016327131552934,1581016326702881420,0.428671514,2
33,1581016327140846967,1581016326736933293,0.403913674,2
34,1581016327248243093,1581016326804602900,0.443640193,2
35,1581016327258105039,1581016326838726790,0.419378249,2
36,1581016327364576101,1581016326941117478,0.423458623,2
37,1581016327374772071,1581016326975085760,0.399686311,2
38,1581016327480849981,1581016327042837198,0.438012783,2
39,1581016327491353988,1581016327076751963,0.414602025,2
40,1581016327596349954,1581016327144434754,0.4519152,2
41,1581016327609479904,1581016327178315871,0.431164033,2
42,1581016327715137004,1581016327280020055,0.435116949,2
43,1581016327725426912,1581016327313978430,0.411448482,2
44,1581016327836726903,1581016327381788237,0.454938666,2
45,1581016327842674016,1581016327415769649,0.426904367,2
46,1581016327957559108,1581016327517952933,0.439606175,2
47,1581016327961508989,1581016327551960381,0.409548608,2
48,1581016328074947118,1581016327619683079,0.455264039,2
49,1581016328076996088,1581016327653730564,0.423265524,2
50,1581016328195036888,1581016327789485768,0.40555112,2
51,1581016328195481061,1581016327755558078,0.439922983,2
52,1581016328313343048,1581016327891270913,0.422072135,2
53,1581016328313874006,1581016327857291742,0.456582264,2
54,1581016328430155038,1581016327992978782,0.437176256,2
55,1581016328431529045,1581016328026939323,0.404589722,2
56,1581016328549204111,1581016328128574712,0.420629399,2
57,1581016328553771972,1581016328094692243,0.459079729,2
58,1581016328665340900,1581016328230293488,0.435047412,2
59,1581016328674309015,1581016328264198679,0.410110336,2
