frame_number,received_time,sent_time,delay_seconds,number_markers
2,1581019707598401069,1581019707420616654,0.177784415,2
3,1581019707670278072,1581019707490061027,0.180217045,2
4,1581019707786411046,1581019707592180056,0.19423099,2
5,1581019707850035905,1581019707659918280,0.190117625,2
6,1581019707956238985,1581019707761562226,0.194676759,2
7,1581019708018048048,1581019707829217914,0.188830134,2
8,1581019708122109889,1581019707930783973,0.191325916,2
9,1581019708185738086,1581019707998430292,0.187307794,2
10,1581019708288067102,1581019708099986240,0.188080862,2
11,1581019708354590892,1581019708167646021,0.186944871,2
12,1581019708457515001,1581019708269163137,0.188351864,2
13,1581019708521059989,1581019708336931730,0.184128259,2
14,1581019708625530958,1581019708438576528,0.18695443,2
15,1581019708688328027,1581019708506275142,0.182052885,2
16,1581019708791819095,1581019708607788276,0.184030819,2
17,1581019708855429887,1581019708675616795,0.179813092,2
18,1581019708959609985,1581019708777109781,0.182500204,2
19,1581019709023765087,1581019708844806209,0.178958878,2
20,1581019709128376007,1581019708946410897,0.18196511,2
21,1581019709195261955,1581019709014159528,0.181102427,2
22,1581019709296552896,1581019709115808012,0.180744884,2
23,1581019709357373952,1581019709183576235,0.173797717,2
24,1581019709459444999,1581019709285197126,0.174247873,2
25,1581019709524677038,1581019709353006552,0.171670486,2
26,1581019709626265048,1581019709454683998,0.17158105,2
27,1581019709692797899,1581019709522367000,0.170430899,2
28,1581019709793700933,1581019709624096408,0.169604525,2
29,1581019709860094070,1581019709691894390,0.16819968,2
30,1581019709961918115,1581019709793555447,0.168362668,2
31,1581019710027077913,1581019709861190210,0.165887703,2
32,1581019710128982067,1581019709962899099,0.166082968,2
33,1581019710194817066,1581019710030550362,0.164266704,2
34,1581019710296114921,1581019710132406396,0.163708525,2
35,1581019710362605094,1581019710200108176,0.162496918,2
36,1581019710464521884,1581019710301972803,0.162549081,2
37,1581019710529206037,1581019710369696750,0.159509287,2
38,1581019710631599903,1581019710471418527,0.160181376,2
39,1581019710698271036,1581019710505231270,0.193039766,2
40,1581019710805516004,1581019710607103971,0.198412033,2
41,1581019710867595911,1581019710674774437,0.192821474,2
42,1581019710970333099,1581019710776502511,0.193830588,2
43,1581019711031532049,1581019710844172181,0.187359868,2
44,1581019711138148069,1581019710945736555,0.192411514,2
45,1581019711199428081,1581019711013389854,0.186038227,2
46,1581019711304560899,1581019711115003283,0.189557616,2
47,1581019711366812944,1581019711182666045,0.184146899,2
48,1581019711472012996,1581019711284201938,0.187811058,2
49,1581019711534255027,1581019711351884293,0.182370734,2
50,1581019711639688968,1581019711453491092,0.186197876,2
51,1581019711703018903,1581019711521229316,0.181789587,2
52,1581019711806725025,1581019711622752487,0.183972538,2
53,1581019711869450092,1581019711690471526,0.178978566,2
54,1581019711972385883,1581019711791961401,0.180424482,2
55,1581019712036755084,1581019711859831252,0.176923832,2
56,1581019712139344930,1581019711961425792,0.177919138,2
57,1581019712205822944,1581019712029138794,0.17668415,2
58,1581019712306969881,1581019712130762334,0.176207547,2
59,1581019712372973918,1581019712198571945,0.174401973,2
60,1581019712474859952,1581019712300585550,0.174274402,2
61,1581019712540683984,1581019712368398568,0.172285416,2
62,1581019712642349958,1581019712470055200,0.172294758,2
63,1581019712707921028,1581019712537894273,0.170026755,2
64,1581019712809541940,1581019712639552497,0.169989443,2
65,1581019712876214981,1581019712707191704,0.169023277,2
66,1581019712977494001,1581019712808883613,0.168610388,2
67,1581019713042958974,1581019712876710372,0.166248602,2
68,1581019713145117044,1581019712978309615,0.166807429,2
69,1581019713211132049,1581019713045928008,0.165204041,2
70,1581019713312789916,1581019713147862300,0.164927616,2
71,1581019713377916097,1581019713215545340,0.162370757,2
72,1581019713479913949,1581019713317478484,0.162435465,2
73,1581019713545960903,1581019713385124895,0.160836008,2
74,1581019713647233963,1581019713486852339,0.160381624,2
75,1581019713713392019,1581019713554592952,0.158799067,2
76,1581019713814018011,1581019713622472266,0.191545745,2
77,1581019713880992889,1581019713690132621,0.190860268,2
78,1581019713982336997,1581019713791686402,0.190650595,2
79,1581019714047775983,1581019713859474829,0.188301154,2
80,1581019714150043010,1581019713961033407,0.189009603,2
81,1581019714221518039,1581019714028653022,0.192865017,2
82,1581019714317019939,1581019714130150638,0.186869301,2
83,1581019714386441946,1581019714197863214,0.188578732,2
84,1581019714484179973,1581019714299493142,0.184686831,2
85,1581019714554816961,1581019714367175904,0.187641057,2
86,1581019714651524066,1581019714468747556,0.18277651,2
87,1581019714721303939,1581019714536482002,0.184821937,2
88,1581019714818881034,1581019714638081227,0.180799807,2
89,1581019714888520956,1581019714705830895,0.182690061,2
90,1581019714987030029,1581019714807436379,0.17959365,2
91,1581019715057081937,1581019714875195288,0.181886649,2
92,1581019715154643058,1581019714976849493,0.177793565,2
93,1581019715225071907,1581019715044604958,0.180466949,2
94,1581019715322493076,1581019715146159739,0.176333337,2
95,1581019715391513109,1581019715213946258,0.177566851,2
96,1581019715490230083,1581019715316070879,0.174159204,2
97,1581019715560187101,1581019715383917823,0.176269278,2
98,1581019715657114982,1581019715485682674,0.171432308,2
99,1581019715726386070,1581019715553795650,0.17259042,2
100,1581019715824255943,1581019715655499354,0.168756589,2
101,1581019715894063949,1581019715723173820,0.170890129,2
102,1581019715991796016,1581019715825066742,0.166729274,2
103,1581019716062932968,1581019715892843836,0.170089132,2
104,1581019716159301042,1581019715994532299,0.164768743,2
105,1581019716230113029,1581019716062152674,0.167960355,2
106,1581019716326541900,1581019716164041189,0.162500711,2
107,1581019716396500110,1581019716231864893,0.164635217,2
108,1581019716494050025,1581019716333853609,0.160196416,2
109,1581019716564179897,1581019716401544705,0.162635192,2
110,1581019716661767005,1581019716503251242,0.158515763,2
111,1581019716730170965,1581019716537092503,0.193078462,2
112,1581019716828939914,1581019716638765708,0.190174206,2
113,1581019716897460937,1581019716706397267,0.19106367,2
114,1581019716996495008,1581019716807933234,0.188561774,2
115,1581019717066176891,1581019716875596997,0.190579894,2
116,1581019717164284944,1581019716977119464,0.18716548,2
117,1581019717233002901,1581019717044779912,0.188222989,2
118,1581019717331953048,1581019717146303453,0.185649595,2
119,1581019717400358915,1581019717213999104,0.186359811,2
120,1581019717499068021,1581019717315813751,0.18325427,2
121,1581019717568691015,1581019717383470735,0.18522028,2
122,1581019717666784048,1581019717484992888,0.18179116,2
123,1581019717735219001,1581019717552816110,0.182402891,2
124,1581019717834067106,1581019717654394947,0.179672159,2
125,1581019717902700901,1581019717722170892,0.180530009,2
126,1581019718001668930,1581019717824113906,0.177555024,2
127,1581019718071085929,1581019717891962535,0.179123394,2
128,1581019718170000076,1581019717993764922,0.176235154,2
129,1581019718238362073,1581019718061657402,0.176704671,2
130,1581019718337541103,1581019718163642786,0.173898317,2
131,1581019718405232906,1581019718231645041,0.173587865,2
132,1581019718504785060,1581019718333338653,0.171446407,2
133,1581019718573321104,1581019718401271873,0.172049231,2
134,1581019718672646999,1581019718502913356,0.169733643,2
135,1581019718740473031,1581019718570644061,0.16982897,2
136,1581019718839458942,1581019718672546187,0.166912755,2
137,1581019718907548904,1581019718740384687,0.167164217,2
138,1581019719007430076,1581019718842041170,0.165388906,2
139,1581019719075675010,1581019718909787394,0.165887616,2
140,1581019719174768924,1581019719011897774,0.16287115,2
141,1581019719242870092,1581019719079610017,0.163260075,2
142,1581019719342288017,1581019719181385183,0.160902834,2
143,1581019719410109043,1581019719249110037,0.160999006,2
144,1581019719509597063,1581019719350940424,0.158656639,2
145,1581019719578207969,1581019719384733185,0.193474784,2
146,1581019719677133083,1581019719486662903,0.19047018,2
147,1581019719744887113,1581019719554368221,0.190518892,2
148,1581019719844805955,1581019719655948205,0.18885775,2
149,1581019719912390947,1581019719724050292,0.188340655,2
150,1581019720012285947,1581019719825718071,0.186567876,2
151,1581019720081002950,1581019719893405889,0.187597061,2
152,1581019720179976940,1581019719994951392,0.185025548,2
153,1581019720248007059,1581019720062662432,0.185344627,2
154,1581019720347630977,1581019720164263416,0.183367561,2
155,1581019720415028095,1581019720232019195,0.1830089,2
156,1581019720514889001,1581019720333670086,0.181218915,2
157,1581019720583070993,1581019720401559806,0.181511187,2
158,1581019720682851076,1581019720503129717,0.179721359,2
159,1581019720751877069,1581019720570886700,0.180990369,2
160,1581019720849697113,1581019720672577608,0.177119505,2
161,1581019720922780990,1581019720740423441,0.182357549,2
162,1581019721019243955,1581019720841962778,0.177281177,2
163,1581019721090893983,1581019720909772538,0.181121445,2
164,1581019721187480926,1581019721011356874,0.176124052,2
165,1581019721256469964,1581019721079142930,0.177327034,2
166,1581019721354553937,1581019721180793247,0.17376069,2
167,1581019721422046899,1581019721248586062,0.173460837,2
168,1581019721522382020,1581019721350192472,0.172189548,2
169,1581019721589350938,1581019721418027990,0.171322948,2
170,1581019721690423011,1581019721519878803,0.170544208,2
171,1581019721755942106,1581019721587638211,0.168303895,2
172,1581019721856836080,1581019721689383766,0.167452314,2
173,1581019721923686027,1581019721757816013,0.165870014,2
174,1581019722023844003,1581019721859835358,0.164008645,2
175,1581019722091559886,1581019721927532805,0.164027081,2
176,1581019722191220045,1581019722029363970,0.161856075,2
177,1581019722258388042,1581019722097071824,0.161316218,2
178,1581019722362844944,1581019722198930747,0.163914197,2
179,1581019722428916931,1581019722232706528,0.196210403,2
180,1581019722526457071,1581019722334790187,0.191666884,2
181,1581019722593580007,1581019722402473320,0.191106687,2
182,1581019722694150924,1581019722504053156,0.190097768,2
183,1581019722760457992,1581019722571754862,0.18870313,2
184,1581019722861800909,1581019722673293163,0.188507746,2
185,1581019722928385019,1581019722741012591,0.187372428,2
186,1581019723029351949,1581019722842722313,0.186629636,2
187,1581019723096417903,1581019722910452000,0.185965903,2
188,1581019723197500944,1581019723012260554,0.18524039,2
189,1581019723263168096,1581019723080061906,0.18310619,2
190,1581019723364857912,1581019723181706408,0.183151504,2
191,1581019723431076049,1581019723249459465,0.181616584,2
192,1581019723532002925,1581019723351027321,0.180975604,2
193,1581019723598851919,1581019723418783192,0.180068727,2
194,1581019723699920892,1581019723520386380,0.179534512,2
195,1581019723766088008,1581019723588224269,0.177863739,2
196,1581019723867351055,1581019723690171653,0.177179402,2
197,1581019723934509992,1581019723758028726,0.176481266,2
198,1581019724035121917,1581019723860113719,0.175008198,2
199,1581019724101946115,1581019723928210101,0.173736014,2
200,1581019724202697038,1581019724029940805,0.172756233,2
201,1581019724268946886,1581019724097843266,0.17110362,2
202,1581019724370389938,1581019724199535508,0.17085443,2
203,1581019724437531948,1581019724267261399,0.170270549,2
204,1581019724537508010,1581019724369134451,0.168373559,2
205,1581019724604340076,1581019724436797695,0.167542381,2
206,1581019724704986095,1581019724538820356,0.166165739,2
207,1581019724771953105,1581019724606509007,0.165444098,2
208,1581019724872453927,1581019724708416410,0.164037517,2
209,1581019724939158916,1581019724776130468,0.163028448,2
210,1581019725040275096,1581019724877986910,0.162288186,2
211,1581019725106683969,1581019724945810780,0.160873189,2
212,1581019725206919908,1581019725047611686,0.159308222,2
213,1581019725273766040,1581019725081435706,0.192330334,2
214,1581019725373929977,1581019725183891617,0.19003836,2
215,1581019725441591024,1581019725251548028,0.190042996,2
216,1581019725541352987,1581019725353038422,0.188314565,2
217,1581019725609162092,1581019725420777460,0.188384632,2
218,1581019725708961963,1581019725522362093,0.18659987,2
219,1581019725776226997,1581019725590113243,0.186113754,2
220,1581019725876822948,1581019725691803706,0.185019242,2
221,1581019725944149971,1581019725759552504,0.184597467,2
222,1581019726044184923,1581019725861189154,0.182995769,2
223,1581019726111592054,1581019725928938878,0.182653176,2
224,1581019726212692975,1581019726030546103,0.182146872,2
225,1581019726278958082,1581019726098317252,0.18064083,2
226,1581019726380173921,1581019726199926829,0.180247092,2
227,1581019726446866989,1581019726267767847,0.179099142,2
228,1581019726547018051,1581019726369465255,0.177552796,2
229,1581019726614363908,1581019726437268940,0.177094968,2
230,1581019726715071916,1581019726538937386,0.17613453,2
231,1581019726782147884,1581019726606821107,0.175326777,2
232,1581019726882929086,1581019726708730159,0.174198927,2
233,1581019726949776887,1581019726776697656,0.173079231,2
234,1581019727050525903,1581019726878290399,0.172235504,2
235,1581019727117592096,1581019726946131899,0.171460197,2
236,1581019727218152046,1581019727047917323,0.170234723,2
237,1581019727284944057,1581019727116022799,0.168921258,2
238,1581019727391895055,1581019727219024179,0.172870876,2
239,1581019727451576948,1581019727286650720,0.164926228,2
240,1581019727558399915,1581019727388316814,0.170083101,2
241,1581019727619502067,1581019727455961300,0.163540767,2
242,1581019727721116065,1581019727557681874,0.163434191,2
243,1581019727786796092,1581019727625351729,0.161444363,2
244,1581019727887537956,1581019727727198504,0.160339452,2
245,1581019727954628944,1581019727794860378,0.159768566,2
246,1581019728055970907,1581019727863056148,0.192914759,2
247,1581019728122611999,1581019727930800057,0.191811942,2
248,1581019728221992969,1581019728032283599,0.18970937,2
249,1581019728295116901,1581019728099944843,0.195172058,2
250,1581019728391302108,1581019728201471347,0.189830761,2
251,1581019728461433887,1581019728269127777,0.19230611,2
252,1581019728560142993,1581019728370706224,0.189436769,2
253,1581019728629656076,1581019728438370061,0.191286015,2
254,1581019728725049972,1581019728539939213,0.185110759,2
255,1581019728796623945,1581019728607734213,0.188889732,2
256,1581019728892335891,1581019728709315457,0.183020434,2
257,1581019728963567972,1581019728777030533,0.186537439,2
258,1581019729060336112,1581019728878572334,0.181763778,2
259,1581019729130444049,1581019728946333150,0.184110899,2
260,1581019729228591918,1581019729047863876,0.180728042,2
261,1581019729294899940,1581019729116032795,0.178867145,2
262,1581019729395582914,1581019729217811720,0.177771194,2
263,1581019729464598894,1581019729285592572,0.179006322,2
264,1581019729563179969,1581019729387174464,0.176005505,2
265,1581019729635663986,1581019729455031408,0.180632578,2
266,1581019729731384038,1581019729556924275,0.174459763,2
267,1581019729797874927,1581019729624638092,0.173236835,2
268,1581019729897983074,1581019729726332333,0.171650741,2
269,1581019729966173887,1581019729794051650,0.172122237,2
270,1581019730065433025,1581019729895902518,0.169530507,2
271,1581019730136960029,1581019729963570262,0.173389767,2
272,1581019730233546972,1581019730065406297,0.168140675,2
273,1581019730305226087,1581019730133101522,0.172124565,2
274,1581019730400239944,1581019730234657803,0.165582141,2
275,1581019730475563049,1581019730302322714,0.173240335,2
276,1581019730575314044,1581019730403994678,0.171319366,2
277,1581019730637053012,1581019730471774846,0.165278166,2
278,1581019730736358880,1581019730573582437,0.162776443,2
279,1581019730804462909,1581019730641234662,0.163228247,2
280,1581019730903105974,1581019730743037068,0.160068906,2
281,1581019730971916913,1581019730810689220,0.161227693,2
282,1581019731070239067,1581019730878763455,0.191475612,2
283,1581019731139888048,1581019730946496457,0.193391591,2
284,1581019731241832971,1581019731048044535,0.193788436,2
285,1581019731306652069,1581019731115876646,0.190775423,2
286,1581019731406701087,1581019731217496667,0.18920442,2
287,1581019731473861932,1581019731285154615,0.188707317,2
288,1581019731573678016,1581019731386772728,0.186905288,2
289,1581019731641653060,1581019731454474823,0.187178237,2
290,1581019731744023084,1581019731556143028,0.187880056,2
291,1581019731808943986,1581019731624115155,0.184828831,2
292,1581019731909058094,1581019731725632622,0.183425472,2
293,1581019731976356983,1581019731793359180,0.182997803,2
294,1581019732076374053,1581019731894987589,0.181386464,2
295,1581019732144293069,1581019731962707795,0.181585274,2
296,1581019732243639945,1581019732064289373,0.179350572,2
297,1581019732316438913,1581019732132125113,0.1843138,2
298,1581019732414829969,1581019732236505334,0.178324635,2
299,1581019732483795881,1581019732304211189,0.179584692,2
300,1581019732579206943,1581019732405796229,0.173410714,2
301,1581019732648597002,1581019732473618284,0.174978718,2
302,1581019732749314069,1581019732575283212,0.174030857,2
303,1581019732815154075,1581019732643097601,0.172056474,2
304,1581019732918154954,1581019732744599939,0.173555015,2
305,1581019732982908964,1581019732812420605,0.170488359,2
306,1581019733084079980,1581019732913977979,0.170102001,2
307,1581019733148068904,1581019732981751184,0.16631772,2
308,1581019733251019001,1581019733083243134,0.167775867,2
309,1581019733316293954,1581019733150966876,0.165327078,2
310,1581019733418206930,1581019733252763857,0.165443073,2
311,1581019733482188940,1581019733320415916,0.161773024,2
312,1581019733589904069,1581019733422168934,0.167735135,2
313,1581019733653614044,1581019733489966008,0.163648036,2
314,1581019733753027915,1581019733591813672,0.161214243,2
315,1581019733818033933,1581019733659469269,0.158564664,2
316,1581019733920273065,1581019733727312861,0.192960204,2
317,1581019733984525918,1581019733794947216,0.189578702,2
318,1581019734087466001,1581019733896477443,0.190988558,2
319,1581019734153080940,1581019733964129317,0.188951623,2
320,1581019734254662990,1581019734065721875,0.188941115,2
321,1581019734320772886,1581019734133366712,0.187406174,2
322,1581019734422270059,1581019734234960215,0.187309844,2
323,1581019734486987113,1581019734302633996,0.184353117,2
324,1581019734592822074,1581019734404186815,0.188635259,2
325,1581019734661919116,1581019734471916520,0.190002596,2
326,1581019734767046928,1581019734573742630,0.193304298,2
327,1581019734845302104,1581019734642036768,0.203265336,2
328,1581019734965732097,1581019734777725285,0.188006812,2
329,1581019735029110908,1581019734845461880,0.183649028,2
330,1581019735133305072,1581019734947231119,0.186073953,2
331,1581019735196907997,1581019735014998417,0.18190958,2
332,1581019735300736904,1581019735116724121,0.184012783,2
333,1581019735364475965,1581019735184450919,0.180025046,2
334,1581019735469409942,1581019735286199141,0.183210801,2
335,1581019735530759096,1581019735354148694,0.176610402,2
336,1581019735637449026,1581019735455950674,0.181498352,2
337,1581019735700408935,1581019735523960151,0.176448784,2
338,1581019735806282997,1581019735625982923,0.180300074,2
339,1581019735887291908,1581019735693861792,0.193430116,2
340,1581019736008208036,1581019735829892357,0.178315679,2
341,1581019736087934970,1581019735898081016,0.189853954,2
342,1581019736207210063,1581019736033810903,0.17339916,2
343,1581019736270838022,1581019736101641181,0.169196841,2
344,1581019736374202013,1581019736203563751,0.170638262,2
345,1581019736438143968,1581019736271684837,0.166459131,2
346,1581019736544878959,1581019736373721053,0.171157906,2
347,1581019736623305082,1581019736441667291,0.181637791,2
348,1581019736739909887,1581019736543430698,0.196479189,2
349,1581019736806638002,1581019736611170699,0.195467303,2
350,1581019736910151004,1581019736712717833,0.197433171,2
351,1581019736975157022,1581019736780484741,0.194672281,2
352,1581019737076790094,1581019736882528142,0.194261952,2
353,1581019737139858007,1581019736950527786,0.189330221,2
354,1581019737250648021,1581019737054133247,0.196514774,2
355,1581019737326417922,1581019737121886285,0.204531637,2
356,1581019737443147897,1581019737257523581,0.185624316,2
357,1581019737507416963,1581019737325184789,0.182232174,2
358,1581019737611149072,1581019737426694034,0.184455038,2
359,1581019737674880981,1581019737494421277,0.180459704,2
360,1581019737781526088,1581019737596064353,0.185461735,2
361,1581019737843173027,1581019737663864149,0.179308878,2
362,1581019737946192026,1581019737765390709,0.180801317,2
363,1581019738010179042,1581019737833164470,0.177014572,2
364,1581019738114411115,1581019737934702270,0.179708845,2
365,1581019738178271055,1581019738002646415,0.17562464,2
366,1581019738281404972,1581019738104307713,0.177097259,2
367,1581019738346441030,1581019738172325172,0.174115858,2
368,1581019738446706056,1581019738274351277,0.172354779,2
369,1581019738513899087,1581019738342082520,0.171816567,2
370,1581019738615609884,1581019738443854556,0.171755328,2
371,1581019738681546926,1581019738511608594,0.169938332,2
372,1581019738786911010,1581019738613660587,0.173250423,2
373,1581019738850680112,1581019738681489735,0.169190377,2
374,1581019738951607942,1581019738782977278,0.168630664,2
375,1581019739014484882,1581019738850630151,0.163854731,2
376,1581019739118257045,1581019738952387206,0.165869839,2
377,1581019739182465076,1581019739020102227,0.162362849,2
378,1581019739284605026,1581019739121833727,0.162771299,2
379,1581019739349642038,1581019739189521267,0.160120771,2
380,1581019739452299118,1581019739257462450,0.194836668,2
381,1581019739515813112,1581019739325080528,0.190732584,2
382,1581019739620812892,1581019739426547386,0.194265506,2
383,1581019739685267925,1581019739494213759,0.191054166,2
384,1581019739785644054,1581019739595850261,0.189793793,2
385,1581019739854432106,1581019739663481117,0.190950989,2
386,1581019739952059030,1581019739764996011,0.187063019,2
387,1581019740022355079,1581019739832743012,0.189612067,2
388,1581019740121001005,1581019739934294590,0.186706415,2
389,1581019740189105033,1581019740002028666,0.187076367,2
390,1581019740287482023,1581019740103754314,0.183727709,2
391,1581019740357219934,1581019740171480576,0.185739358,2
392,1581019740454930067,1581019740273006191,0.181923876,2
393,1581019740524892091,1581019740340768470,0.184123621,2
394,1581019740623413085,1581019740442301734,0.181111351,2
395,1581019740692883014,1581019740510076049,0.182806965,2
396,1581019740799212932,1581019740611757921,0.187455011,2
397,1581019740859534978,1581019740679951820,0.179583158,2
398,1581019740962138891,1581019740781564286,0.180574605,2
